Unnamed: 0,Rajasthan
02/01/2019,0.7450638792102208
03/01/2019,0.7804878048780487
04/01/2019,0.7781649245063881
05/01/2019,0.7740998838559815
06/01/2019,0.7816492450638793
07/01/2019,0.7903600464576076
08/01/2019,0.7630662020905924
09/01/2019,0.5296167247386759
10/01/2019,0.5464576074332174
11/01/2019,0.47560975609756106
12/01/2019,0.4883855981416957
13/01/2019,0.4709639953542394
14/01/2019,0.5191637630662022
15/01/2019,0.4622531939605111
16/01/2019,0.40360046457607435
17/01/2019,0.5307781649245064
18/01/2019,0.6039488966318235
19/01/2019,0.5331010452961672
20/01/2019,0.5331010452961672
21/01/2019,0.48722415795586527
22/01/2019,0.5000000000000001
23/01/2019,0.7049941927990709
24/01/2019,0.7305458768873404
25/01/2019,0.7351916376306621
26/01/2019,0.718931475029036
27/01/2019,0.7032520325203252
28/01/2019,0.6771196283391406
29/01/2019,0.6852497096399536
30/01/2019,0.15098722415795596
31/01/2019,0.20673635307781657
02/02/2019,0.20615563298490136
03/02/2019,0.22822299651567945
04/02/2019,0.24332171893147503
05/02/2019,0.25087108013937287
06/02/2019,0.25029036004645766
07/02/2019,0.40360046457607435
08/02/2019,0.4779326364692219
09/02/2019,0.5545876887340303
10/02/2019,0.6033681765389082
11/02/2019,0.6097560975609758
12/02/2019,0.5760743321718932
13/02/2019,0.5609756097560977
14/02/2019,0.7375145180023229
15/02/2019,0.7601626016260162
16/02/2019,0.761904761904762
17/02/2019,0.751451800232288
18/02/2019,0.7595818815331011
19/02/2019,0.7462253193960512
20/02/2019,0.7328687572590012
21/02/2019,0.8263646922183508
22/02/2019,0.8832752613240417
23/02/2019,0.8734030197444832
24/02/2019,0.83739837398374
25/02/2019,0.870499419279907
26/02/2019,0.904761904761905
27/02/2019,0.8966318234610918
28/02/2019,0.7700348432055749
02/03/2019,0.7828106852497098
03/03/2019,0.7845528455284553
04/03/2019,0.7845528455284553
05/03/2019,0.8002322880371661
06/03/2019,0.8008130081300814
07/03/2019,0.7938443670150989
08/03/2019,0.7195121951219513
09/03/2019,0.7351916376306621
10/03/2019,0.6689895470383275
11/03/2019,0.6475029036004646
12/03/2019,0.6207897793263647
13/03/2019,0.6318234610917538
14/03/2019,0.5696864111498258
15/03/2019,0.33797909407665505
16/03/2019,0.3461091753774681
17/03/2019,0.43147502903600465
18/03/2019,0.4819976771196285
19/03/2019,0.494192799070848
20/03/2019,0.5377468060394891
21/03/2019,0.5853658536585366
22/03/2019,0.6440185830429733
23/03/2019,0.6312427409988387
24/03/2019,0.6550522648083624
25/03/2019,0.6225319396051104
26/03/2019,0.6184668989547039
27/03/2019,0.6242740998838562
28/03/2019,0.6068524970963997
29/03/2019,0.602206736353078
30/03/2019,0.6416957026713125
31/03/2019,0.6364692218350755
02/04/2019,0.6329849012775842
03/04/2019,0.6800232288037168
04/04/2019,0.6655052264808364
05/04/2019,0.648664343786295
06/04/2019,0.7351916376306621
07/04/2019,0.7142857142857143
08/04/2019,0.6777003484320557
09/04/2019,0.6777003484320557
10/04/2019,0.7288037166085947
11/04/2019,0.6840882694541232
12/04/2019,0.6167247386759583
13/04/2019,0.7828106852497098
14/04/2019,0.7961672473867597
15/04/2019,0.8286875725900117
16/04/2019,0.8344947735191638
17/04/2019,0.8646922183507549
18/04/2019,0.870499419279907
19/04/2019,0.8164924506387922
20/04/2019,0.794425087108014
21/04/2019,0.8072009291521488
22/04/2019,0.8089430894308943
23/04/2019,0.8124274099883856
24/04/2019,0.8153310104529617
25/04/2019,0.7560975609756099
26/04/2019,0.7218350754936121
27/04/2019,0.7357723577235772
28/04/2019,0.7375145180023229
29/04/2019,0.7537746806039488
30/04/2019,0.7369337979094076
02/05/2019,0.7502903600464575
03/05/2019,0.7479674796747967
04/05/2019,0.7270615563298491
05/05/2019,0.696864111498258
06/05/2019,0.7125435540069688
07/05/2019,0.6922183507549361
08/05/2019,0.7015098722415797
09/05/2019,0.6747967479674798
10/05/2019,0.6097560975609758
11/05/2019,0.5348432055749129
12/05/2019,0.7921022067363531
13/05/2019,0.8455284552845529
14/05/2019,0.8768873403019745
15/05/2019,0.659117305458769
16/05/2019,0.6533101045296169
17/05/2019,0.5394889663182346
18/05/2019,0.31068524970964007
19/05/2019,0.5789779326364694
20/05/2019,0.6445993031358886
21/05/2019,0.6695702671312428
22/05/2019,0.7020905923344948
23/05/2019,0.7009291521486644
24/05/2019,0.7113821138211384
25/05/2019,0.6904761904761904
26/05/2019,0.4233449477351917
27/05/2019,0.3838559814169571
28/05/2019,0.38095238095238104
29/05/2019,0.32171893147502906
30/05/2019,0.12833914053426254
31/05/2019,0.0
02/06/2019,0.10278745644599308
03/06/2019,0.5650406504065041
04/06/2019,0.5621370499419279
05/06/2019,0.5505226480836237
06/06/2019,0.5603948896631824
07/06/2019,0.5720092915214868
08/06/2019,0.5296167247386759
09/06/2019,0.461672473867596
10/06/2019,0.6933797909407665
11/06/2019,0.5940766550522648
12/06/2019,0.7038327526132405
13/06/2019,0.6910569105691059
14/06/2019,0.6585365853658537
15/06/2019,0.6718931475029036
16/06/2019,0.6736353077816494
17/06/2019,0.7026713124274101
18/06/2019,0.7253193960511034
19/06/2019,0.7421602787456446
20/06/2019,0.781068524970964
21/06/2019,0.7444831591173054
22/06/2019,0.772357723577236
23/06/2019,0.7781649245063881
24/06/2019,0.7456445993031359
25/06/2019,0.7816492450638793
26/06/2019,0.7717770034843204
27/06/2019,0.7711962833914053
28/06/2019,0.7653890824622532
29/06/2019,0.8112659698025552
30/06/2019,0.7270615563298491
